spent,date,shown,link
Spent ₹0 – ₹250,From 27 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16173289206716563457?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹45K – ₹50K,From 27 Apr - 30 May 2024 (33 days),Shown 250K – 300K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16169911506996035585?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16163156107554979841?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16161984577915584513?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 25 May 2024 (31 days),Shown 5K – 6K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16131874451988938753?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 14 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16116569250130296833?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 26 Apr - 5 May 2024 (10 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16095443783470022657?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 15 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16084343114075996161?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 4 May 2024 (8 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16076461814728097793?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 10 May 2024 (14 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16025796318920179713?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹9K – ₹10K,From 14 Apr - 30 May 2024 (35 days),Shown 80K – 90K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16024403787443601409?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16005263489027276801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (18 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16002096895539281921?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹750 – ₹1K,From 14 Apr - 30 May 2024 (39 days),Shown 7K – 8K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15995411864842403841?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (19 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15987759263913082881?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 26 Apr - 6 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15976661343298125825?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15968056015543336961?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹80K – ₹90K,From 21 Apr - 20 May 2024 (26 days),Shown 250K – 300K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15949132320917684225?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15941437938546507777?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹250 – ₹500,From 14 Apr - 30 May 2024 (35 days),Shown 2K – 3K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15905621347271704577?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15890642700366512129?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 19 Apr - 18 May 2024 (23 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15882328193437270017?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (28 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15801194130912051201?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 27 Apr - 30 May 2024 (33 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15776972439507959809?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 23 Apr - 20 May 2024 (28 days),Shown 6K – 7K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15747160830988255233?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 24 Apr - 5 May 2024 (11 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15733016713408544769?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 20 Apr - 18 May 2024 (25 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15728016134525419521?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹10K – ₹15K,From 23 Apr - 23 May 2024 (30 days),Shown 50K – 60K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15694243535366651905?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 10 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15687143988786102273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 23 May 2024 (30 days),Shown 1K – 2K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR15662215861161164801?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
